# Array shape: (3, 3, 3)
7.200000000000000844e-02 2.199999999999999872e-02 2.199999999999999872e-02
1.570000000000000007e-01 2.199999999999999872e-02 2.199999999999999872e-02
1.570000000000000007e-01 2.199999999999999872e-02 2.500000000000000139e-02
# New slice
3.600000000000001810e-02 1.000000000000000454e-03 1.000000000000000454e-03
-7.099999999999997979e-02 -7.399999999999998246e-02 -1.049999999999999961e-01
-4.740000000000001434e-01 -4.740000000000001434e-01 -5.140000000000001235e-01
# New slice
1.970000000000000084e-01 1.409999999999999865e-01 1.409999999999999865e-01
-4.919999999999998264e-01 -4.919999999999998264e-01 -5.359999999999998099e-01
7.000000000000003442e-02 7.000000000000003442e-02 7.000000000000003442e-02
# New slice
