# Array shape: (4, 4, 4)
7.200000000000000844e-02 2.199999999999999872e-02 2.199999999999999872e-02 2.199999999999999872e-02
1.620000000000000606e-01 2.199999999999999872e-02 2.199999999999999872e-02 2.199999999999999872e-02
1.570000000000000007e-01 1.999999999999999556e-01 2.199999999999999872e-02 2.199999999999999872e-02
1.570000000000000007e-01 1.529999999999999971e-01 2.199999999999999872e-02 2.199999999999999872e-02
# New slice
1.880000000000000004e-01 8.399999999999999134e-02 8.399999999999999134e-02 8.399999999999999134e-02
1.469999999999999918e-01 1.580000000000000293e-01 1.250000000000000000e-01 1.409999999999999865e-01
-8.000000000000000167e-03 -3.699999999999996347e-02 -6.699999999999997624e-02 -6.699999999999997624e-02
-2.020000000000000684e-01 -2.150000000000000799e-01 -2.480000000000000815e-01 -2.480000000000000815e-01
# New slice
-6.900000000000003353e-02 -1.140000000000000319e-01 -1.140000000000000319e-01 -1.140000000000000319e-01
-6.699999999999997624e-02 -6.999999999999997891e-02 -1.009999999999999926e-01 -1.009999999999999926e-01
-3.219999999999998974e-01 -3.219999999999998974e-01 -3.609999999999998765e-01 -3.609999999999998765e-01
-7.249999999999998668e-01 -7.249999999999998668e-01 -7.249999999999998668e-01 -7.769999999999999130e-01
# New slice
1.970000000000000084e-01 1.409999999999999865e-01 1.409999999999999865e-01 1.409999999999999865e-01
-4.750000000000000333e-01 -4.750000000000000333e-01 -5.110000000000000098e-01 -5.110000000000000098e-01
-1.163999999999999924e+00 -1.163999999999999924e+00 -1.163999999999999924e+00 -1.163999999999999924e+00
7.000000000000003442e-02 7.000000000000003442e-02 7.000000000000003442e-02 7.000000000000003442e-02
# New slice
